GEOID,DISTRICT
370210001.1,12
370210053.1,12
370210068.1,12
370210022.2,12
370210027.2,12
370210058.1,12
370210059.1,12
37191000004,4
37191000026,4
37191002530,4
3706100CALY,4
37191000028,4
37191000002,4
370210066.1,12
37143BETHEL,1
370210044.1,12
370210024.1,12
370210048.1,12
370210038.3,12
370210036.1,12
37111FORT-1,12
37111FORT-2,12
370210060.2,12
37035000019,8
37035000006,8
37035000002,8
370230029-B,8
370230029-A,8
3710900NB35,8
37035000030,8
37035000014,8
37035000032,8
37035000001,8
370210002.1,12
37035000017,8
37035000026,8
37035000024,8
37023000012,8
37023000013,8
37023000015,8
371350000SM,7
371350000CP,7
37063000044,7
371350000HE,7
37135000ENO,7
37063000045,7
37063000050,7
37153000004,9
370210011.1,12
370210045.1,12
370210039.2,12
370210039.3,12
370210037.1,12
370210003.1,12
370210054.2,12
370210018.2,12
370890000FL,12
370210052.1,12
37035000016,8
37035000029,8
37035000012,8
37035000023,8
371050000D1,9
371050000D2,10
371050000C1,9
371050000C2,9
371350000WD,7
37135000WDS,7
37153000009,9
371050000E1,10
371050000E2,10
3708500PR23,10
3708500PR26,10
3708500PR24,10
3710100PR14,4
3708500PR25,10
3708500PR29,10
370210047.1,12
37143PARKVI,1
37143NEW-HO,1
3706100WOLF,4
370210025.1,12
370210008.3,12
370210060.4,12
370210008.2,12
370210034.1,12
3706100MAGN,13
3716300ROWA,13
3716300INGO,13
3706100BEUL,13
37107000PH2,13
3706100KENA,13
37135000CS1,7
37153000008,9
37165006-89,9
37153000005,9
37165001-16,9
37155000019,9
3703100NPT2,1
3703100NPT1,1
3703100IBSP,1
3703100MHD2,1
3703100ABCH,1
3703100MHD1,1
3708500PR07,9
3706100WALL,13
3706100ROSE,13
3706100WARS,13
3716300TURK,13
3706100FAIS,13
3716300GIDD,4
3706100GLIS,13
37165000004,9
37165000003,9
37017000P80,13
37017000P45,13
3701700P202,13
37017000P55,13
3713300BC21,1
3713300ML23,1
37103000P07,1
3713300NR02,13
37143NICANO,1
37035000013,8
371350000NS,7
371350000WW,7
37019000016,13
370190004B2,13
3701900004A,13
37129000W03,13
37129000W26,13
37019000021,13
37019000007,13
37019000017,13
37019000019,13
37019000008,13
37019000020,13
37019000015,13
37153000002,9
37153000001,9
37153000013,9
