GEOID,DISTRICT
37067000053,1
37057000084,1
37057000004,1
37067000042,1
37057000016,1
3705700080A,1
3705700086A,1
37067000043,1
37067000507,1
37067000013,1
37067000067,1
37067000061,1
3708100SDRI,1
3708100H29B,1
37081000G64,1
37081000G37,1
37081000G38,1
37081000G43,1
3708100G42B,1
3708100G42A,1
37081000FR4,1
3708100FR5A,1
37081000SF4,1
37081000SF1,1
37081000SF2,1
3708100STOK,1
37067000021,1
37067000112,1
37169000017,1
37067000066,1
37067000062,1
37067000068,1
37067000064,1
3708100NDRI,1
37081000OR2,1
37081000OR1,1
3708100FR5B,1
370810NCGR1,1
3708100MON3,1
371570000IR,1
371570000SE,1
3708100NMAD,1
371570000MC,1
370810NCGR2,1
371570000NB,1
371570000HU,1
371570000WS,1
37169001819,1
371570000MA,1
371570000RC,1
371570000MS,1
371570000LI,1
3703300LOCU,1
3703300PELH,1
370330PROVI,1
3703300YANC,1
3703300MILT,1
3715700LK-2,1
371570000HO,1
3715700ED-1,1
371570000EC,1
371570000DR,1
37169000002,1
37169000020,1
37169001618,1
37169000014,1
37169000001,1
37169000012,1
37169000004,1
3708100CG3B,1
37081000CG2,1
3708100CG3A,1
37081000G27,1
37081000G28,1
37081000G25,1
37081000G24,1
37081000G26,1
37081000G21,1
37081000G09,1
370810MON2A,1
37081000G08,1
37081000G10,1
37081000G03,1
37081000G04,1
37081000G68,1
37081000G70,1
37081000G05,1
37081000G01,1
37081000G22,1
37081000G29,1
37081000G23,1
37081000G20,1
37081000G18,1
3708100G41A,1
3708100G41B,1
37081000FR3,1
37081000SF3,1
37081000CG1,1
370810G40A2,1
370810G40A1,1
3708100G40B,1
37081000G30,1
37081000G32,1
37081000G31,1
37081000G17,1
37081000G13,1
37081000G12,1
37081000G45,1
37081000G14,1
37081000G16,1
37081000G35,1
37081000G36,1
37081000G39,1
37081000G15,1
37081000G49,1
37081000G34,1
37081000G33,1
37081000FR2,1
37081000FR1,1
37081000G62,1
37081000G65,1
37081000G66,1
3708100JAM2,1
37081000H24,1
37081000H23,1
37067000012,1
37067000014,1
37067000015,1
37067000011,1
37081000H15,1
37081000H16,1
3708100H20A,1
37081000H21,1
3708100H20B,1
3708100H19A,1
37081000H26,1
3708100H29A,1
3708100JAM1,1
3708100H19B,1
3708100JAM4,1
3708100JAM3,1
3708100SUM1,1
3708100SUM2,1
3708100SUM4,1
3708100SUM3,1
37081000G59,1
37081000G60,1
37081000G61,1
37081000G50,1
37081000G63,1
37081000G58,1
37081000G56,1
37081000G57,1
37081000G54,1
37081000G55,1
37081000G53,1
37081000G52,1
37081000G51,1
37081000G47,1
37081000G48,1
37081000H06,1
37081000H10,1
37081000H07,1
37081000H04,1
371510000AR,1
371510000TR,1
37081000H05,1
37081000H03,1
37081000H02,1
37057000088,1
37081000H14,1
37081000H01,1
37081000H08,1
37081000H09,1
37081000H11,1
37081000H18,1
3708100JAM5,1
371510000NM,1
37081000H28,1
370810H27-B,1
370810H27-A,1
