GEOID,DISTRICT
37119000029,1
37119000123,1
37119000108,1
371190107.1,1
37119000212,1
37119000006,1
37119000149,1
37119000115,1
37119000030,1
37119000056,1
37119000124,1
37119000005,1
37119000095,1
37119000046,1
37119000033,1
37119000051,1
37119000042,1
37119000015,1
37119000004,1
37119000219,1
37119000024,1
37119000234,1
37025002-01,1
37119000146,1
37119000151,1
37119000002,1
37119000135,1
37119000014,1
37119000201,1
37119000011,1
37119000049,1
37119000236,1
37119000083,1
37119000060,1
37119000237,1
371190204.1,1
37119000003,1
37119000044,1
37119000010,1
37119000054,1
37057000018,1
37119000062,1
37119000037,1
371190238.1,1
37025004-08,1
37025012-11,1
37025012-09,1
3715900019A,1
37159000002,1
3715900005A,1
37159000010,1
37159000033,1
37159000026,1
37159000003,1
37159000015,1
37159000008,1
37159000001,1
37119000203,1
37159000030,1
37025012-13,1
37025012-08,1
37025012-06,1
37025002-03,1
37025001-11,1
37025004-03,1
37025004-11,1
37159000016,1
37159000009,1
37025001-08,1
37025004-12,1
37025012-05,1
37025012-04,1
37119000050,1
37119000082,1
37025012-10,1
37159000017,1
37025002-08,1
37025004-13,1
37119000104,1
37119000132,1
37025005-00,1
37025001-10,1
37025002-05,1
37119000022,1
37119000043,1
37025004-09,1
37119000211,1
37025004-01,1
37025012-03,1
37025011-02,1
37025003-00,1
37025001-07,1
37119000241,1
37119000205,1
37025001-04,1
37119000061,1
37119000145,1
37119000239,1
37119000027,1
37025002-09,1
37119000141,1
37119000105,1
37119000213,1
37119000045,1
37119000130,1
37119000013,1
37119000026,1
37025002-06,1
37119000009,1
37119000109,1
37025001-02,1
37119000084,1
37119000116,1
37025012-12,1
37025002-02,1
37119000128,1
37119000028,1
37159000013,1
37159000023,1
37159000025,1
3715900014A,1
37119000020,1
37119000038,1
37119000150,1
37119000126,1
37119000214,1
37119000021,1
37119000034,1
37025002-07,1
37119000007,2
37119000111,2
37119000085,2
37179000012,2
371230000T2,2
37153000016,2
37167000011,2
37167000027,2
37167000016,2
37119000117,2
37119000090,2
37119000113,2
37123000MTG,2
37153000004,2
37167000014,2
37167000028,2
37167000019,2
37119000137,2
37167000021,2
37119000121,2
37119000144,2
37119000101,2
37179000016,2
37119000218,2
37179000003,2
3717900038A,2
37179000027,2
37119000067,2
37179000004,2
37119000120,2
37167000024,2
37153000007,2
37119000110,2
37153000008,2
37153000005,2
37119000103,2
37119000092,2
37119000125,2
37119000074,2
3700700BURN,2
37119000001,2
37119000119,2
37119000129,2
37119000131,2
37123000ROC,2
37119000047,2
37179000026,2
37119000225,2
37153000002,2
37119000065,2
37153000001,2
37153000013,2
37119000100,2
37119000097,2
37119000114,2
37119000087,2
37119000019,2
37119000227,2
371190139.1,2
37153000012,2
37153000010,2
37153000014,2
37119000215,2
37119000106,2
37119000018,2
37119000118,2
37119000057,2
37119000148,2
37167000026,2
37167000022,2
37167000025,2
37167000018,2
37153000006,2
37057000056,2
37167000212,2
37167000020,2
37179000013,2
37179000030,2
37179000019,2
370070WADES,2
3700700PEAC,2
37179000036,2
370070000MM,2
37119000216,2
37007000ANS,2
3717900029A,2
37179000033,2
37025006-00,2
3717900017A,2
37179000032,2
37179000007,2
3717900037A,2
37119000232,2
37179000001,2
37025010-00,2
37025009-00,2
37179000010,2
370070000WS,2
3700700LILE,2
37119000221,2
37179000021,2
37179000031,2
37119000073,2
37119000069,2
37119000070,2
37119000063,2
37119000008,2
37119000064,2
3700700GULL,2
37119000075,2
3717900017B,2
37179000034,2
37179000014,2
37179000025,2
37123000CHE,2
37179000002,2
3717900028D,2
3717900028A,2
3717900028C,2
3717900028B,2
3717900020A,2
37167000003,2
37167000007,2
37179000023,2
37025008-00,2
37179000035,2
37179000011,2
37119000136,2
37179000022,2
37179000005,2
3717900038B,2
37119000088,2
37119000102,2
37119000138,2
37119000094,2
37119000036,2
37025011-01,2
37119000091,2
37167000010,2
37167000013,2
37167000023,2
37119000032,2
37119000093,2
37153000015,2
37167000008,2
37167000015,2
37119000096,2
37123000UWH,2
37123000PEE,2
371230000T1,2
37119000217,2
37167000017,2
37119000076,2
37159000022,2
37179000041,2
37119000099,2
37119000140,2
37119000220,2
37119000233,2
37119000066,2
37119000017,2
37179000024,2
37179000042,2
37119000112,2
37153000003,2
37119000231,2
37119000235,2
37025007-00,2
37119000086,2
