GEOID,DISTRICT
370210001.1,9
370210053.1,9
370210068.1,9
370210022.2,9
370210027.2,9
370210058.1,9
370210059.1,9
370210066.1,9
370210044.1,9
370210024.1,9
370210048.1,9
370210038.3,9
370210036.1,9
37111FORT-1,9
37111FORT-2,9
370210060.2,9
370890000HS,9
3708900HV-1,9
370890000NW,9
370890000EF,9
370890000BK,9
370890000PR,9
370890000AT,9
37115GRAPEV,9
370210002.1,9
37115HOT-SP,9
3719910-PEN,9
370210050.1,9
370870000LJ,9
370210011.1,9
370210045.1,9
370210039.2,9
370210039.3,9
370210037.1,9
370210003.1,9
370210054.2,9
370210018.2,9
370890000FL,9
370210052.1,9
3708900HV-3,9
370890000CB,9
370890000MG,9
370210047.1,9
370210025.1,9
370210008.3,9
370210060.4,9
370210008.2,9
370210034.1,9
370890000AR,9
370890000HC,9
3703900BRAS,9
3704300HIAW,9
3704300SWEE,9
3704300HAY1,9
37121000003,9
370210023.3,9
370210021.1,9
370210023.2,9
370210014.3,9
370210042.1,9
370210067.1,9
370210012.1,9
370210033.3,9
370890000EV,9
370890000FR,9
3719906-JAC,9
37121000007,9
370210019.1,9
370210010.1,9
370890000NB,9
370210056.2,9
370210029.2,9
37175000TC1,9
37173ALMOND,9
3707500EAST,9
37113000015,9
3707500STEC,9
37173000BC1,9
37173000BC2,9
37099000SDC,9
37099000QUA,9
370870000IH,9
37113000003,9
37113000007,9
370870000WE,9
370210026.1,9
3708700BE-2,9
370870000SA,9
37121000008,9
3719911-PRI,9
370890000SM,9
370890000GM,9
370890000NE,9
3717300WHCH,9
37121000006,9
37121000004,9
3719909-SOU,9
3716100006A,6
3714900CG05,9
3704300HAYC,9
370210069.1,9
370210064.1,9
370210009.1,9
370210057.1,9
370210031.1,9
370210055.1,9
370210017.1,9
370210015.1,9
37161000028,6
37161000030,6
3703900HOTH,9
3703900MARB,9
3703900MURN,9
3703900MURS,9
3703900RGER,9
3703900CSON,9
3719905-GRE,9
3714900WO06,9
37161000018,6
3714900CL07,9
3714900SA04,9
370890000RR,9
371110MAR-2,9
371110MAR-5,9
3704300HAY2,9
371750000LR,9
370890000ES,9
37099000GCK,9
37099000CUL,9
370210013.1,9
371750000DR,9
371750000B1,9
3703900BELL,9
3704300TUSQ,9
3714900CL08,9
3704300WARN,9
371750000CM,9
371750000BD,9
371750000WC,9
371750000PF,9
37111T.COVE,9
371750000B4,9
371750000RE,9
370870000WC,9
3708700BE-4,9
37113000002,9
37113000014,9
37113000010,9
370210030.3,9
